SalesNav Name,Account Name,Deterministic Match,Match Score
"Sinomax USA, Inc.",Samsung Electronics America,,0.0
SMEG S.P.A.,Rutronik Electronics Worldwide,,0.0
Solo Stove,Russell Athletic,,0.0
Superior Grocers,Ruiz Food Products,Superior Grocers,100.0
The Coca-Cola Company,Roku,The Coca‑Cola Company,95.23809523809523
Tile,Robert Bosch Tool,Tile,100.0
Trove Brands,RME,True Brands,86.95652173913044
TY,Rituals,TY,100.0
"US Automotive, Inc.",Ricoh USA,,0.0
V-ZUG Services AG,Rich Products,,0.0
Vallarta Supermarkets,RH Peterson,Vallarta Supermarkets,100.0
Village Super Market,Reynolds American,Village Supermarket,92.3076923076923
Walmart,Rexel USA,Walmart,100.0
WB Manufacturing,Revlon,WB Manufacturing,100.0
Western Beef Supermarket,Reser's Fine Foods,,0.0
Westrock Coffee Company,Regus Group Companies,,0.0
XXIO USA,Refresco North America,,0.0
YETI,Razer,YETI,100.0
ZOJIRUSHI CORPORATION,R.J. Reynolds Tobacco Company,,0.0
.,Quirch,,0.0
99 Cents Only Stores,Purple,,0.0
a.k.a. Brands,Purina,aka Brands,86.95652173913044
ABC Stores,Primo Water Corporation,ABC Stores,100.0
Accupac,Primo Water,Accupac,100.0
Ace Hardware Corporation,Prestige Brands,,0.0
Acushnet Company,Prairie Farms,,0.0
adidas,Pottery Barn Kids,Adidas,83.33333333333334
Affordable Interior Systems,Positec Tool,"Affordable Interior Systems, LLC.",90.0
AKG,POOLCORP,AKG,100.0
Alliance of Channel Women,PlayStation,,0.0
"Alpha Baking Co., Inc.",Philips - Consumer,,0.0
alphabroder,Philip Morris International,Alphabroder,90.9090909090909
American Foods Group,Perfetti Van Melle,American Foods Group,100.0
American Freight Appliances & Furniture,Perdue Farms,,0.0
"American Furniture Manufacturing, Inc.",PepsiCo,American Furniture Manufacturing,91.42857142857143
American Textile Company,Pepsi Bottling Ventures,American Textile,80.0
American Woodmark,Patrón Tequila,American Woodmark,100.0
AMMO INCORPORATED®,Panasonic North America,,0.0
Amnesia,Panasonic Avionics,Amnesia,100.0
ANDREAS STIHL AG & KG,Pampers,,0.0
Anker Japan,Pacific Seafood,,0.0
Ann Taylor,OSI Group,Ann Taylor,100.0
Antigua Apparel,Origins Natural Resources,,0.0
Arabian Oud,Oregon Tool,Arabia Oud,95.23809523809523
Arctic Spas (Blue Falls Manufacturing),OK Foods,,0.0
Ardene,Ocean Spray,Ardene,100.0
Arhaus,Northern Tool + Equipment,Arhaus,100.0
Ariat International,Nokia,Arc International,88.88888888888889
artcobell,Nissin Foods,,0.0
Ashley Furniture Industries,Nintendo of America,Ashley Furniture Industries,100.0
Asian Star Company Limited,Nike,,0.0
Aspire Bakeries,Niagara Bottling,Aspire Bakeries,100.0
Associated Milk Producers Inc.,Newly Weds® Foods,,0.0
At Home Group Inc.,Newell Brands,,0.0
Attindas Hygiene Partners,Newark,,0.0
Atwoods Ranch & Home,Netgear,Atwoods Ranch & Home,100.0
Aurora Organic Dairy,Nestlé Waters,Aurora Organic Dairy,100.0
Baby Creysi,Nestlé USA,Baby Creysi,100.0
Bargain Hunt,Nestlé Nespresso,Bargain Hunt,100.0
"Bealls, Inc.",Nestlé Hong Kong,"Bealls, Inc.",100.0
"Beauty 21 Cosmetics, Inc.",Nespresso,Beauty 21 Cosmetics,86.36363636363636
BIRKENSTOCK,Neiman Marcus Group,,0.0
BJ's Wholesale Club,National Beverage,BJ's Wholesale Club,100.0
Blauer,National Beef,Blauer,100.0
Blount Fine Foods,Mutex,Blount Fine Foods,100.0
BlueTriton Brands,MTD Parts,BlueTriton Brands,100.0
Bob's Red Mill,Mount Franklin Foods,Bob's Red Mill,100.0
"Bobrick Washroom Equipment, Inc",Motorola Solutions,,0.0
Boot Barn,Morton Salt,Boot Barn,100.0
Braum's,Monster Energy Company,Braum's,100.0
Braun Household,Monster Beverage,Braun Household,100.0
Brentwood Originals,Mondelez International,,0.0
Bricktown Brewery,Molson Coors Beverage Company,Bricktown Brewery,100.0
Brilliant Earth,Molex,Brilliant Earth,100.0
Brita Canada Corporation,"Mission Foods, North America",,0.0
Buck Knives,Minute Maid,Buck Knives,100.0
ButcherBox,Milwaukee,Butcherbox,90.0
"Butterball, LLC",MillerKnoll,Butterball,80.0
BWE,Miele,BWE,100.0
C&A México,Microsoft,,0.0
Cabinetworks Services India Private Limited (formerly known as KraftMaid Services India Pvt. Ltd.),Michael Kors,,0.0
Caffco Floral Outlet,Michael Foods,,0.0
Camanchaca SA,Meyer,,0.0
Candle-lite Company,Melitta Group,,0.0
