Original Ticker,Annual Revenue Growth (%)
NASDAQ:FREE,2.348440936924083
NASDAQ:COCO,15.387330610794624
NYSE:BARK,-8.430737042675808
NYSE:BBW,3.8844972720686757
NASDAQ:KIRK,-6.041196812509398
NYSE: APRN,
NASDAQ:NATR,5.548576710672892
NASDAQ:ACCD,14.085399100076554
NYSE:NAPA,8.183941370701458
NASDAQ:TTSH,-4.44791260241904
NASDAQ:FARM,0.3323881352143168
NASDAQ:BYND,-18.03558086853984
NYSE:BRCC,31.299678407503162
NASDAQ:PETS,9.542869837360033
NASDAQ: THRN,
NASDAQ:TRUG,-4.79394889711617
